Major area region country or area,Country Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EpiStartYr
World,900,28.83,29.23,29.64,30.04,30.45,30.85,31.28,31.71,32.14,32.57,33,33.39,33.77,34.16,34.54,34.93,35.16,35.39,35.62,35.85,36.08,36.31,36.53,36.76,36.98,37.21,37.55,37.89,38.24,38.58,38.92,39.29,39.66,40.04,40.41,40.78,41.15,41.52,41.88,42.25,42.62,42.99,43.35,43.72,44.08,44.45,44.84,45.23,45.62,46.01,46.4,46.85,47.29,47.74,48.18,48.63,49,49.36,49.73,50.09,50.46,50.84,51.22,51.61,51.99,52.37,52.78,53.19,53.59,54,54.41,54.85,55.29,55.74,56.18,56.62,57.09,57.56,58.03,58.5,58.97,59.46,59.95,60.43,60.92,61.41,61.9,62.39,62.87,63.36,63.85,64.34,64.83,65.31,65.8,66.29,66.77,67.25,67.74,68.22,68.7,1975
More developed regions,901,52.58,53.19,53.8,54.42,55.03,55.64,56.27,56.9,57.54,58.17,58.8,59.4,60,60.59,61.19,61.79,62.37,62.95,63.53,64.11,64.69,65.08,65.48,65.87,66.27,66.66,66.99,67.32,67.66,67.99,68.32,68.56,68.8,69.03,69.27,69.51,69.76,70.01,70.25,70.5,70.75,70.96,71.17,71.37,71.58,71.79,71.98,72.17,72.36,72.55,72.74,72.97,73.2,73.43,73.66,73.89,74.14,74.4,74.65,74.91,75.16,75.43,75.7,75.96,76.23,76.5,76.78,77.06,77.35,77.63,77.91,78.2,78.49,78.79,79.08,79.37,79.67,79.97,80.28,80.58,80.88,81.17,81.47,81.76,82.06,82.35,82.63,82.91,83.18,83.46,83.74,84,84.26,84.51,84.77,85.03,85.27,85.51,85.76,86,86.24,1975
Less developed regions,902,17.61,18.01,18.41,18.8,19.2,19.6,20.04,20.48,20.92,21.36,21.8,22.23,22.66,23.1,23.53,23.96,24.23,24.5,24.78,25.05,25.32,25.65,25.99,26.32,26.66,26.99,27.48,27.97,28.46,28.95,29.44,29.99,30.55,31.1,31.66,32.21,32.73,33.26,33.78,34.31,34.83,35.34,35.85,36.35,36.86,37.37,37.9,38.42,38.95,39.47,40,40.56,41.13,41.69,42.26,42.82,43.27,43.72,44.18,44.63,45.08,45.54,45.99,46.45,46.9,47.36,47.84,48.32,48.8,49.28,49.76,50.27,50.78,51.28,51.79,52.3,52.84,53.37,53.91,54.44,54.98,55.53,56.08,56.62,57.17,57.72,58.27,58.82,59.36,59.91,60.46,61,61.55,62.09,62.64,63.18,63.72,64.25,64.79,65.32,65.86,1975
Least developed countries,941,7.32,7.52,7.72,7.92,8.12,8.32,8.55,8.79,9.02,9.26,9.49,9.81,10.13,10.45,10.77,11.09,11.5,11.91,12.31,12.72,13.13,13.45,13.77,14.09,14.41,14.73,15.24,15.75,16.27,16.78,17.29,17.66,18.03,18.39,18.76,19.13,19.5,19.87,20.24,20.61,20.98,21.35,21.72,22.09,22.46,22.83,23.2,23.57,23.94,24.31,24.68,25.11,25.54,25.97,26.4,26.83,27.3,27.77,28.23,28.7,29.17,29.68,30.2,30.71,31.23,31.74,32.3,32.86,33.42,33.98,34.54,35.15,35.76,36.36,36.97,37.58,38.23,38.88,39.54,40.19,40.84,41.52,42.19,42.87,43.54,44.22,44.91,45.6,46.29,46.98,47.67,48.37,49.06,49.76,50.45,51.15,51.85,52.55,53.25,53.95,54.65,1975
Less developed regions excluding least developed countries,934,18.97,19.39,19.82,20.24,20.67,21.09,21.56,22.03,22.5,22.97,23.44,23.89,24.34,24.78,25.23,25.68,25.93,26.19,26.44,26.7,26.95,27.29,27.63,27.96,28.3,28.64,29.14,29.63,30.13,30.62,31.12,31.71,32.3,32.88,33.47,34.06,34.61,35.17,35.72,36.28,36.83,37.38,37.93,38.49,39.04,39.59,40.16,40.73,41.31,41.88,42.45,43.06,43.67,44.29,44.9,45.51,45.99,46.47,46.94,47.42,47.9,48.38,48.86,49.33,49.81,50.29,50.79,51.29,51.78,52.28,52.78,53.3,53.82,54.34,54.86,55.38,55.92,56.47,57.01,57.56,58.1,58.65,59.21,59.76,60.32,60.87,61.41,61.96,62.5,63.05,63.59,64.13,64.66,65.2,65.73,66.27,66.79,67.31,67.84,68.36,68.88,1975
Less developed regions excluding China,948,20.18,20.57,20.95,21.34,21.72,22.11,22.52,22.92,23.33,23.73,24.14,24.59,25.03,25.48,25.92,26.37,26.83,27.29,27.74,28.2,28.66,29.13,29.6,30.07,30.54,31.01,31.5,32,32.49,32.99,33.48,33.94,34.39,34.85,35.3,35.76,36.19,36.61,37.04,37.46,37.89,38.23,38.58,38.92,39.27,39.61,39.96,40.31,40.66,41.01,41.36,41.65,41.94,42.24,42.53,42.82,43.13,43.45,43.76,44.08,44.39,44.74,45.09,45.45,45.8,46.15,46.56,46.96,47.37,47.77,48.18,48.64,49.1,49.57,50.03,50.49,51.01,51.53,52.04,52.56,53.08,53.63,54.18,54.74,55.29,55.84,56.4,56.96,57.51,58.07,58.63,59.19,59.75,60.3,60.86,61.42,61.97,62.53,63.08,63.64,64.19,1975
Sub-Saharan Africa,947,11.02,11.34,11.67,11.99,12.32,12.64,13.07,13.5,13.94,14.37,14.8,15.28,15.76,16.23,16.71,17.19,17.65,18.12,18.58,19.05,19.51,19.95,20.39,20.82,21.26,21.7,22.15,22.6,23.05,23.5,23.95,24.36,24.77,25.19,25.6,26.01,26.47,26.93,27.39,27.85,28.31,28.77,29.23,29.69,30.15,30.61,31.03,31.44,31.86,32.27,32.69,33.14,33.58,34.03,34.47,34.92,35.38,35.84,36.31,36.77,37.23,37.71,38.2,38.68,39.17,39.65,40.17,40.68,41.2,41.71,42.23,42.78,43.33,43.89,44.44,44.99,45.58,46.16,46.75,47.33,47.92,48.52,49.12,49.73,50.33,50.93,51.54,52.15,52.77,53.38,53.99,54.61,55.22,55.84,56.45,57.07,57.68,58.3,58.91,59.53,60.14,1975
Africa,903,14.4,14.78,15.16,15.53,15.91,16.29,16.76,17.23,17.7,18.17,18.64,19.17,19.69,20.22,20.74,21.27,21.73,22.2,22.66,23.13,23.59,24.02,24.45,24.87,25.3,25.73,26.17,26.6,27.04,27.47,27.91,28.33,28.74,29.16,29.57,29.99,30.42,30.85,31.27,31.7,32.13,32.54,32.94,33.35,33.75,34.16,34.52,34.88,35.23,35.59,35.95,36.34,36.73,37.13,37.52,37.91,38.32,38.74,39.15,39.57,39.98,40.42,40.87,41.31,41.76,42.2,42.68,43.16,43.63,44.11,44.59,45.11,45.63,46.14,46.66,47.18,47.73,48.29,48.84,49.4,49.95,50.52,51.1,51.67,52.25,52.82,53.4,53.98,54.57,55.15,55.73,56.32,56.9,57.49,58.07,58.66,59.25,59.83,60.42,61,61.59,1975
Eastern Africa,910,5.3,5.49,5.69,5.88,6.08,6.27,6.49,6.71,6.93,7.15,7.37,7.65,7.93,8.2,8.48,8.76,9.09,9.42,9.76,10.09,10.42,10.81,11.21,11.6,12,12.39,12.86,13.33,13.79,14.26,14.73,15.04,15.35,15.67,15.98,16.29,16.62,16.96,17.29,17.63,17.96,18.28,18.6,18.91,19.23,19.55,19.81,20.06,20.32,20.57,20.83,21.1,21.37,21.65,21.92,22.19,22.47,22.75,23.03,23.31,23.59,23.96,24.32,24.69,25.05,25.42,25.86,26.31,26.75,27.2,27.64,28.17,28.7,29.23,29.76,30.29,30.9,31.51,32.13,32.74,33.35,34.01,34.68,35.34,36.01,36.67,37.36,38.06,38.75,39.45,40.14,40.86,41.58,42.3,43.02,43.74,44.48,45.22,45.96,46.7,47.44,1975
Burundi,108,1.73,1.76,1.79,1.82,1.85,1.88,1.91,1.94,1.98,2.01,2.04,2.07,2.11,2.14,2.18,2.21,2.24,2.28,2.31,2.35,2.38,2.55,2.72,2.88,3.05,3.22,3.44,3.67,3.89,4.12,4.34,4.52,4.69,4.87,5.04,5.22,5.43,5.64,5.85,6.06,6.27,6.46,6.65,6.83,7.02,7.21,7.42,7.64,7.85,8.07,8.28,8.53,8.78,9.03,9.28,9.53,9.82,10.12,10.41,10.71,11,11.35,11.69,12.04,12.38,12.73,13.14,13.55,13.95,14.36,14.77,15.24,15.71,16.19,16.66,17.13,17.66,18.19,18.73,19.26,19.79,20.38,20.97,21.57,22.16,22.75,23.4,24.05,24.7,25.35,26,26.71,27.42,28.12,28.83,29.54,30.3,31.06,31.83,32.59,33.35,1975
